,Label,Is match?,Shape similarity,Ratio area,Distance
68,0,False,0.891122,1.0,0.213265
69,1,True,0.01568,0.001169,0.000908
70,0,False,0.641411,1.0,0.172857
71,0,False,0.382105,0.999048,0.140634
72,1,True,0.027378,0.002339,0.001872
73,0,False,0.999813,1.0,0.221678
74,0,False,0.664228,0.56332,0.224939
75,1,True,0.034284,0.000493,0.00203
76,0,False,0.652338,1.0,0.207193
77,0,False,0.782871,1.0,0.209266
78,1,True,0.010972,0.000969,0.000908
79,0,False,0.363574,1.0,0.217194
80,0,False,0.662393,1.0,0.207399
81,1,True,0.026042,0.003411,0.001436
82,0,False,0.513074,1.0,0.161913
83,0,False,0.665516,1.0,0.210047
84,1,True,0.019834,0.003026,0.001872
85,0,False,0.813941,0.999999,0.220213
86,0,False,0.673896,1.0,0.206885
87,1,True,0.011165,0.002351,0.001015
88,0,False,1.0,1.0,0.206924
89,0,False,0.865788,1.0,0.332146
90,1,True,0.010655,0.003934,0.001015
91,0,False,0.76528,0.999999,0.127132
92,0,False,0.700415,0.577508,0.220968
93,1,True,0.025754,0.005006,0.001436
94,0,False,0.998405,1.0,0.217228
95,0,False,0.508564,0.997779,0.313278
96,1,True,0.012417,0.003414,0.001015
97,0,False,0.695387,1.0,0.229718
98,0,False,0.695387,1.0,0.230792
99,1,True,0.001943,0.00158,0.0
100,0,False,0.699131,1.0,0.17147
101,0,False,0.783995,0.999999,0.124451
102,1,True,0.008538,0.004638,0.001015
103,0,False,0.831216,1.0,0.206306
104,0,False,0.921119,1.0,0.15988
105,1,True,0.00389,0.003059,0.000454
106,0,False,0.844964,0.995669,0.221767
107,0,False,0.702143,1.0,0.181142
108,1,True,0.007739,0.002363,0.001015
109,0,False,0.566007,1.0,0.205763
110,0,False,0.703124,1.0,0.197017
111,1,True,0.001539,0.002826,0.0
112,0,False,0.83684,1.0,0.195663
113,0,False,0.603397,0.999125,0.307999
114,1,True,0.001559,0.004287,0.000454
115,0,False,0.757849,1.0,0.209103
116,0,False,0.791941,0.999999,0.122416
117,1,True,0.000787,0.002226,0.000454
118,0,False,0.794481,1.0,0.216742
119,0,False,0.722157,0.573092,0.217676
120,1,True,0.001173,0.002995,0.000642
121,0,False,0.866351,1.0,0.228652
122,0,False,0.706616,1.0,0.226348
123,1,True,0.006739,0.004305,0.000642
124,0,False,0.792539,0.999999,0.120995
125,0,False,0.885445,1.0,0.195107
126,1,True,0.002743,0.001239,0.0
127,0,False,0.723996,0.57366,0.216216
128,0,False,0.312102,0.99942,0.11966
129,1,True,0.001035,0.004056,0.000454
130,0,False,0.787812,1.0,0.196061
131,0,False,0.840032,1.0,0.183746
132,1,True,0.0,0.0,0.0
133,0,False,0.39194,1.0,0.083749
134,0,False,0.977512,1.0,0.087671
135,1,True,0.00335,0.000424,0.023605
136,0,False,0.999998,1.0,0.015151
137,0,False,0.766413,1.0,0.121421
138,1,True,0.851406,0.40709,0.017727
139,0,False,0.936571,1.0,0.010932
140,0,False,0.982882,1.0,0.136245
141,1,True,0.036588,0.032807,0.023605
142,0,False,0.42247,1.0,0.103958
143,0,False,0.029675,1.0,0.070105
144,1,True,0.002236,0.030642,0.023605
145,0,False,0.440668,1.0,0.091614
146,0,False,0.372224,1.0,0.084
147,1,True,0.016694,0.005337,0.023605
148,0,False,0.910429,1.0,0.070725
149,0,False,0.437752,0.995055,0.097914
150,1,True,0.0,0.0,0.0
151,0,False,0.123168,1.0,0.045404
152,0,False,0.153053,1.0,0.019066
153,1,True,0.005249,0.003805,0.039493
154,0,False,0.296112,1.0,0.094421
155,0,False,0.084752,1.0,0.038652
156,1,True,0.753907,0.568211,0.019238
157,0,False,0.762875,1.0,0.102284
158,0,False,0.897775,1.0,0.125651
159,1,True,0.0019,0.021232,0.039493
160,0,False,0.999994,0.151338,0.041219
161,0,False,0.43828,0.9947,0.109243
162,1,True,0.002871,0.01724,0.039493
163,0,False,0.027591,1.0,0.013196
164,0,False,0.176311,1.0,0.058547
165,1,True,0.031036,0.003408,0.039496
166,0,False,0.147855,0.993915,0.101139
167,0,False,0.121754,1.0,0.05131
168,1,True,0.0,0.0,0.0
169,0,False,0.999983,1.0,0.023892
170,0,False,0.57377,1.0,0.166756
171,1,True,0.002517,0.001545,0.02996
172,0,False,0.447308,1.0,0.204138
