,Label,Is match?,Shape similarity,Ratio area,Distance
49,0,False,0.699566,1.0,0.377447
50,0,False,0.709394,0.999388,0.620217
51,1,True,0.00389,0.003059,0.000908
52,0,False,0.702143,1.0,0.362285
53,0,False,0.923202,1.0,0.418657
54,1,True,0.007739,0.002363,0.00203
55,0,False,0.540578,0.997737,0.620175
56,0,False,0.800271,1.0,0.399936
57,1,True,0.001539,0.002826,0.0
58,0,False,0.669325,0.999999,0.416414
59,0,False,0.320295,0.999302,0.246321
60,1,True,0.001559,0.004287,0.000908
61,0,False,0.791941,0.999999,0.244831
62,0,False,0.721588,0.576055,0.436145
63,1,True,0.000787,0.002226,0.000908
64,0,False,0.780016,1.0,0.403002
65,0,False,0.851197,0.995003,0.4413
66,1,True,0.001173,0.002995,0.001284
67,0,False,0.83777,1.0,0.359265
68,0,False,0.839968,1.0,0.381336
69,1,True,0.006739,0.004305,0.001284
70,0,False,0.792539,0.999999,0.24199
71,0,False,0.404672,1.0,0.396561
72,1,True,0.002743,0.001239,0.0
73,0,False,0.723996,0.57366,0.432432
74,0,False,0.980433,1.0,0.391774
75,1,True,0.001035,0.004056,0.000908
76,0,False,0.724612,0.576856,0.432432
77,0,False,0.787812,1.0,0.385354
78,1,True,0.00335,0.000424,0.04721
79,0,False,0.766413,1.0,0.242842
80,0,False,0.206504,1.0,0.026329
81,1,True,0.851406,0.40709,0.035454
82,0,False,0.995493,1.0,0.170302
83,0,False,0.936571,1.0,0.117599
84,1,True,0.036588,0.032807,0.04721
85,0,False,0.423525,0.993361,0.206483
86,0,False,0.20528,1.0,0.07861
87,1,True,0.002236,0.030642,0.04721
88,0,False,0.001348,0.038591,0.100016
89,0,False,0.15103,0.993071,0.110035
90,1,True,0.016694,0.005337,0.04721
91,0,False,0.114932,1.0,0.115702
92,0,False,0.298072,1.0,0.183228
93,1,True,0.005249,0.003805,0.078987
94,0,False,0.651922,0.915039,0.126024
95,0,False,0.084752,1.0,0.240904
96,1,True,0.753907,0.568211,0.038476
97,0,False,0.99992,1.0,0.178081
98,0,False,0.751534,1.0,0.155846
99,1,True,0.0019,0.021232,0.078987
100,0,False,0.254541,0.959393,0.256996
101,0,False,0.999994,0.151338,0.082438
102,1,True,0.002871,0.01724,0.078987
103,0,False,0.027591,1.0,0.170125
104,0,False,0.380504,0.994369,0.126939
105,1,True,0.031036,0.003408,0.078992
106,0,False,0.121754,1.0,0.086063
107,0,False,0.151651,0.993735,0.124219
108,1,True,0.002517,0.001545,0.059921
109,0,False,0.107793,1.0,0.3345
